% set_pose_packingboxes_b_wp_sim_time_res_pose  right_arm  basic_scene + packingboxes %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	RRTConnectConfigDefault	2	11	0.039	2.376	1
r	RRTConnectConfigDefault	2	12	0.096	1.235	1
r	RRTConnectConfigDefault	2	13	0.101	0.99	1
r	RRTConnectConfigDefault	2	14	0.063	6.848	1
r	RRTConnectConfigDefault	2	15	0.071	1.282	1
r	RRTConnectConfigDefault	2	16	0.05	1.453	1
r	RRTConnectConfigDefault	3	0	0.054	3.993	1
r	RRTConnectConfigDefault	3	1	0.042	0.982	1
r	RRTConnectConfigDefault	3	2	0.046	1.936	1
r	RRTConnectConfigDefault	3	3	-1	-1	0
r	RRTConnectConfigDefault	3	4	0.05	0.917	1
r	RRTConnectConfigDefault	3	5	0.066	1.822	1
r	RRTConnectConfigDefault	3	6	0.042	1.125	1
r	RRTConnectConfigDefault	3	7	0.061	1.168	1
r	RRTConnectConfigDefault	3	8	0.079	2.236	1
r	RRTConnectConfigDefault	3	9	0.055	1.147	1
r	RRTConnectConfigDefault	3	10	0.081	1.221	1
r	RRTConnectConfigDefault	3	11	0.054	2.353	1
r	RRTConnectConfigDefault	3	12	0.099	1.222	1
r	RRTConnectConfigDefault	3	13	0.074	0.988	1
r	RRTConnectConfigDefault	3	14	0.159	74.014	1
r	RRTConnectConfigDefault	3	15	0.059	1.291	1
r	RRTConnectConfigDefault	3	16	0.069	1.524	1
r	RRTConnectConfigDefault	4	0	0.116	8.535	1
r	RRTConnectConfigDefault	4	1	0.065	0.961	1
r	RRTConnectConfigDefault	4	2	-1	-1	0
r	RRTConnectConfigDefault	4	3	-1	-1	0
r	RRTConnectConfigDefault	4	4	0.088	10.526	1
r	RRTConnectConfigDefault	4	5	0.046	1.864	1
r	RRTConnectConfigDefault	4	6	0.047	1.065	1
r	RRTConnectConfigDefault	4	7	0.05	1.148	1
r	RRTConnectConfigDefault	4	8	0.059	2.358	1
r	RRTConnectConfigDefault	4	9	0.059	1.234	1
